Opening,Opening.1,Title,Production company,Cast and crew,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref.,Ref.
O C T O B E R,6,Black Box,Amazon Studios / Blumhouse Productions,"Emmanuel Osei-Kuffour Jr. (director/screenplay); Stephen Herman (screenplay); Mamoudou Athie, Phylicia Rashad",,
O C T O B E R,7,Hubie Halloween,Netflix / Happy Madison Productions,"Steven Brill (director); Adam Sandler, Tim Herlihy (screenplay); Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Rob Schneider, June Squibb, Kenan Thompson, Shaquille O'Neal, Steve Buscemi, Maya Rudolph",,[173]
O C T O B E R,7,Books of Blood,Hulu,"Brannon Braga (director/screenplay); Adam Simon (screenplay); Britt Robertson, Anna Friel, Rafi Gavron, Yul Vazquez",,[174]
O C T O B E R,8,Charm City Kings,HBO Max / Warner Max / Overbrook Entertainment,"Angel Manuel Soto (director); Sherman Payne (screenplay); Jahi Di'Allo Winston, Meek Mill, Will Catlett, Teyonah Parris",,[175]
O C T O B E R,9,The War with Grandpa,101 Studios / Brookdale Studios,"Tim Hill (director); Tom J. Astle, Matt Ember (screenplay); Robert De Niro, Uma Thurman, Rob Riggle, Oakes Fegley, Cheech Marin, Jane Seymour, Christopher Walken",,[176]
O C T O B E R,9,A Rainy Day in New York,MPI Media Group,"Woody Allen (director/screenplay); Timothée Chalamet, Elle Fanning, Selena Gomez, Jude Law, Diego Luna, Liev Schreiber",,[177]
O C T O B E R,9,Yellow Rose,Stage 6 Films,"Diane Paragas (director/screenplay); Annie J. Howell, Celena Cipriaso (screenplay); Eva Noblezada, Dale Watson, Princess Punzalan, Lea Salonga",,[160]
O C T O B E R,9,The 40-Year-Old Version,Netflix,"Radha Blank (director/screenplay); Radha Blank, Peter Kim, Oswin Benjamin, Reed Birney",,[178]
O C T O B E R,13,Nocturne,Amazon Studios / Blumhouse Productions,"Zu Quirke (director/screenplay); Sydney Sweeney, Madison Iseman, Jacques Colimon, Ivan Shaw",,
O C T O B E R,13,Evil Eye,Amazon Studios / Blumhouse Productions,"Elan Dassani, Rajeev Dassani (directors); Madhuri Shekar (screenplay); Sarita Choudhury, Sunita Mani, Omar Maskati, Bernard White",,
O C T O B E R,15,A Babysitter's Guide to Monster Hunting,Netflix / Walden Media / The Montecito Picture Company,"Rachel Talalay (director); Joe Ballarini (screenplay); Tamara Smart, Oona Laurence, Tom Felton, Indya Moore",,[179]
O C T O B E R,16,Love and Monsters,Paramount Pictures / Entertainment One / 21 Laps Entertainment,"Michael Matthews (director); Matthew Robinson, Brian Duffield (screenplay); Dylan O'Brien, Jessica Henwick, Dan Ewing, Ariana Greenblatt, Michael Rooker",,[180]
O C T O B E R,16,Honest Thief,Open Road Films / Briarcliff Entertainment,"Mark Williams (director/screenplay); Steve Allrich (screenplay); Liam Neeson, Kate Walsh, Robert Patrick, Anthony Ramos, Jeffrey Donovan, Jai Courtney",,[181]
O C T O B E R,16,Clouds,Disney+,"Justin Baldoni (director); Kara Holden (screenplay); Fin Argus, Sabrina Carpenter, Madison Iseman, Lil Rel Howery, Neve Campbell, Tom Everett Scott",,[182]
O C T O B E R,16,The Devil Has a Name,Momentum Pictures,"Edward James Olmos (director); Robert McEveety (screenplay); David Strathairn, Kate Bosworth, Pablo Schreiber, Edward James Olmos, Katie Aselton, Haley Joel Osment, Alfred Molina, Martin Sheen",,[183]
O C T O B E R,16,The Kid Detective,Stage 6 Films,"Evan Morgan (director/screenplay); Adam Brody, Sophie Nélisse, Tzi Ma, Wendy Crewson, Sarah Sutherland",,
O C T O B E R,16,Alone,Lionsgate,"Johnny Martin (director); Matt Naylor (screenplay); Tyler Posey, Summer Spiro, Robert Ri'chard, Donald Sutherland",,[184]
O C T O B E R,16,2 Hearts,Freestyle Releasing,"Lance Hool (director); Veronica Hool, Robin U. Russin (screenplay); Jacob Elordi, Adan Canto, Tiera Skovbye, Radha Mitchell",,
O C T O B E R,16,The Opening Act,RLJE Films,"Steve Byrne (director/screenplay); Jimmy O. Yang, Alex Moffat, Cedric the Entertainer",,[185]
O C T O B E R,20,Tremors: Shrieker Island,Universal Pictures Home Entertainment,"Don Michael Paul (director/screenplay); Brian Brightly (screenplay); Michael Gross, Jon Heder",,[186]
O C T O B E R,22,The Witches,HBO Max / Warner Bros. Pictures / ImageMovers,"Robert Zemeckis (director/screenplay); Kenya Barris, Guillermo del Toro (screenplay); Anne Hathaway, Octavia Spencer, Stanley Tucci, Jahzir Bruno, Codie-Lei Eastick, Kristin Chenoweth, Chris Rock",,[187]
O C T O B E R,23,Over the Moon,Netflix / Pearl Studio / Sony Pictures Imageworks,"Glen Keane (director); Audrey Wells (screenplay); Cathy Ang, Phillipa Soo, Ken Jeong, John Cho, Ruthie Ann Miles, Margaret Cho, Sandra Oh",,[188]
O C T O B E R,23,Borat Subsequent Moviefilm,Amazon Studios,"Jason Woliner (director); Peter Baynham, Sacha Baron Cohen, Jena Friedman, Anthony Hines, Lee Kern, Dan Mazer, Erica Rivinoja, Dan Swimer (screenplay); Sacha Baron Cohen, Maria Bakalova",,[189]
O C T O B E R,23,After We Collided,Open Road Films / Voltage Pictures,"Roger Kumble (director); Anna Todd, Mario Celaya (screenplay); Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Shane Paul McGhie, Candice King, Khadijha Red Thunder, Inanna Sarkis, Samuel Larsen, Selma Blair",,[190]
O C T O B E R,23,The Empty Man,20th Century Studios,"David Prior (director/screenplay); James Badge Dale, Marin Ireland, Stephen Root, Ron Canada, Robert Aramayo, Joel Courtney, Sasha Frolova",,[191]
O C T O B E R,23,Synchronic,XYZ Films / Well Go USA Entertainment,"Justin Benson, Aaron Moorhead (directors) Justin Benson (screenplay); Anthony Mackie, Jamie Dornan",,[192]
O C T O B E R,23,Bad Hair,Hulu,"Justin Simien (director/screenplay); Elle Lorraine, Vanessa Williams, Jay Pharoah, Lena Waithe, Blair Underwood, Laverne Cox",,[193]
O C T O B E R,23,Friendsgiving,Saban Films,"Nicol Paone (director/screenplay); Malin Åkerman, Kat Dennings, Aisha Tyler, Chelsea Peretti, Ryan Hansen",,[194]
O C T O B E R,28,The Craft: Legacy,Columbia Pictures / Blumhouse Productions,"Zoe Lister-Jones (director/screenplay); Cailee Spaeny, Gideon Adlon, Lovie Simone, Zoey Luna, Michelle Monaghan, David Duchovny",,[195]
O C T O B E R,28,Holidate,Netflix,"John Whitesell (director); Tiffany Paulsen (screenplay); Emma Roberts, Luke Bracey, Kristin Chenoweth",,[196]
O C T O B E R,30,Come Play,Focus Features / Amblin Partners / Reliance Entertainment,"Jacob Chase (director/screenplay); Gillian Jacobs, John Gallagher Jr., Azhy Robertson, Winslow Fegley",,[197]
O C T O B E R,30,His House,Netflix / Regency Enterprises / BBC Films,"Remi Weekes (director/screenplay); Wunmi Mosaku. Sope Dirisu, Matt Smith",,[198]
O C T O B E R,30,Spell,Paramount Players,"Mark Tonderai (director); Kurt Wimmer (screenplay); Omari Hardwick, Loretta Devine",,[199]
N O V E M B E R,6,Jungleland,Vertical Entertainment / Scott Free Productions,"Max Winkler (director/screenplay); Theodore B. Bressman, David Branson Smith (screenplay); Charlie Hunnam, Jack O'Connell, Jessica Barden, Jonathan Majors, John Cullum",,[200]
N O V E M B E R,6,Let Him Go,Focus Features / Universal Pictures,"Thomas Bezucha (director/screenplay); Diane Lane, Kevin Costner, Lesley Manville, Will Brittain, Jeffrey Donovan",,[201]
N O V E M B E R,6,The Informer,Aviron Pictures / Thunder Road Films,"Andrea Di Stefano (director/screenplay); Matt Cook, Rowan Joffe (screenplay); Joel Kinnaman, Rosamund Pike, Common, Ana de Armas, Clive Owen",,[202]
N O V E M B E R,6,The Dark and the Wicked,RLJE Films,"Bryan Bertino (director/screenplay); Marin Ireland, Michael Abbott Jr., Xander Berkeley",,[203]
N O V E M B E R,11,Hillbilly Elegy,Netflix / Imagine Entertainment,"Ron Howard (director); Vanessa Taylor (screenplay); Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett, Freida Pinto, Bo Hopkins, Owen Asztalos",,[204]
N O V E M B E R,13,Mank,Netflix,"David Fincher (director); Jack Fincher (screenplay); Gary Oldman, Amanda Seyfried, Lily Collins, Arliss Howard, Tom Pelphrey, Sam Troughton, Ferdinand Kingsley, Tuppence Middleton, Tom Burke, Joseph Cross, Jamie McShane, Toby Leonard Moore, Monika Gossmann, Charles Dance",,[205]
N O V E M B E R,13,Freaky,Universal Pictures / Blumhouse Productions,"Christopher Landon (director/screenplay); Michael Kennedy (screenplay); Vince Vaughn, Kathryn Newton, Katie Finneran, Celeste O'Connor, Misha Osherovich, Alan Ruck",,[206]
N O V E M B E R,13,Jingle Jangle: A Christmas Journey,Netflix,"David E. Talbert (director/screenplay); Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, Madalen Mills, Phylicia Rashad, Ricky Martin",,[207]
N O V E M B E R,13,Dreamland,Vertical Entertainment,"Miles Joris-Peyrafitte (director); Nicolaas Zwart (screenplay); Finn Cole, Margot Robbie, Travis Fimmel, Kerry Condon, Darby Camp, Garrett Hedlund, Lola Kirke",,[208]
N O V E M B E R,13,Fatman,Saban Films / Ingenious Media,"Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste",,[209]
N O V E M B E R,13,The Life Ahead,Netflix,"Edoardo Ponti (director/screenplay); Ugo Chiti (screenplay); Sophia Loren, Ibrahima Gueye, Abril Zamora, Renato Carpentieri, Babak Karimi",,[210]
N O V E M B E R,13,The Climb,Sony Pictures Classics,"Michael Angelo Covino (director/screenplay); Kyle Marvin (screenplay); Kyle Marvin, Michael Angelo Covino, Gayle Rankin, Talia Balsam, George Wendt, Judith Godrèche",,
N O V E M B E R,13,Chick Fight,Quiver Distribution / Redbox,"Paul Leyden (director); Joseph Downey (screenplay); Malin Åkerman, Bella Thorne, Fortune Feimster, Alec Baldwin",,[211]
N O V E M B E R,19,The Princess Switch: Switched Again,Netflix,"Michael Rohl (director); Robin Bernheim, Megan Metzger (screenplay); Vanessa Hudgens, Sam Palladio, Nick Sagar",,[212]
N O V E M B E R,20,Run,Hulu / Lionsgate,"Aneesh Chaganty (director/screenplay); Sev Ohanian (screenplay); Sarah Paulson, Kiera Allen, Pat Healy, Sara Sohn",,[213]
N O V E M B E R,20,Sound of Metal,Amazon Studios,"Darius Marder (director/screenplay); Abraham Marder (screenplay); Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff, Mathieu Amalric",,[214]
N O V E M B E R,20,The Last Vermeer,TriStar Pictures,"Dan Friedkin (director); John Orloff, Mark Fergus and Hawk Ostby (screenplay); Guy Pearce, Claes Bang, Vicky Krieps",,[215]
N O V E M B E R,20,Jiu Jitsu,The Avenue Entertainment,"Dimitri Logothetis (director/screenplay); James McGrath (screenplay); Alain Moussi, Frank Grillo, JuJu Chan, Tony Jaa, Nicolas Cage",,[216]
N O V E M B E R,24,Buddy Games,Saban Films / WWE Studios,"Josh Duhamel (director/screenplay); Bob Schwartz, Jude Weng (screenplay); Josh Duhamel, Dax Shepard, Olivia Munn",,
N O V E M B E R,25,The Croods: A New Age,Universal Pictures / DreamWorks Animation,"Joel Crawford (director); Kevin Hageman, Dan Hageman, Paul Fisher, Bob Logan (screenplay); Nicolas Cage, Emma Stone, Ryan Reynolds, Peter Dinklage, Leslie Mann, Kelly Marie Tran, Catherine Keener, Clark Duke, Cloris Leachman",,[217]
N O V E M B E R,25,Happiest Season,Hulu / TriStar Pictures / Entertainment One,"Clea DuVall (director/screenplay); Mary Holland (screenplay); Kristen Stewart, Mackenzie Davis, Alison Brie, Aubrey Plaza, Dan Levy, Mary Holland, Victor Garber, Mary Steenburgen",,[218]
N O V E M B E R,25,Ma Rainey's Black Bottom,Netflix / Escape Artists,"George C. Wolfe (director); Ruben Santiago-Hudson (screenplay); Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo, Michael Potts, Jeremy Shamos, Taylour Paige, Dusan Brown, Jonny Coyne",,[219]
N O V E M B E R,25,The Christmas Chronicles 2,Netflix / 1492 Pictures,"Chris Columbus (director/screenplay); Matt Lieberman (screenplay); Kurt Russell, Goldie Hawn, Darby Camp, Julian Dennison, Jazhir Bruno, Judah Lewis, Kimberly Williams-Paisley, Tyrese Gibson, Andrew Morgado",,
N O V E M B E R,25,Uncle Frank,Amazon Studios / Miramax,"Alan Ball (director/screenplay); Paul Bettany, Sophia Lillis, Peter Macdissi, Judy Greer, Steve Zahn, Lois Smith, Margo Martindale, Stephen Root",,[220]
N O V E M B E R,25,Folklore: The Long Pond Studio Sessions,Disney+,"Taylor Swift (director/screenplay); Taylor Swift, Jack Antonoff, Aaron Dessner, Justin Vernon",,
N O V E M B E R,26,Superintelligence,HBO Max / Warner Bros. Pictures / New Line Cinema,"Ben Falcone (director); Steve Mallory (screenplay); Melissa McCarthy, Bobby Cannavale, Brian Tyree Henry, Jean Smart, James Corden",,[221]
N O V E M B E R,27,Life in a Year,Amazon Studios / Columbia Pictures,"Mitja Okorn (director); Jeffrey Addiss, Will Matthews (screenplay); Jaden Smith, Cara Delevingne, Cuba Gooding Jr., Nia Long",,
N O V E M B E R,27,Black Beauty,Disney+ / Constantin Film / JB Pictures,"Ashley Avis (director/screenplay); Mackenzie Foy, Kate Winslet, Claire Forlani, Fern Deacon, Iain Glen",,
D E C E M B E R,4,The Prom,Netflix,"Ryan Murphy (director); Chad Beguelin, Bob Martin (screenplay); Meryl Streep, James Corden, Jo Ellen Pellman, Nicole Kidman, Keegan-Michael Key, Andrew Rannells, Ariana DeBose, Kerry Washington",,[222]
D E C E M B E R,4,All My Life,Universal Pictures,"Marc Meyers (director); Todd Rosenberg (screenplay); Jessica Rothe, Harry Shum Jr., Kyle Allen, Chrissie Fit, Jay Pharoah, Marielle Scott, Keala Settle",,[223]
D E C E M B E R,4,Godmothered,Disney+ / Walt Disney Pictures,"Sharon Maguire (director); Kari Granlund, Melissa Stack (screenplay); Isla Fisher, Jillian Bell, Santiago Cabrera",,
D E C E M B E R,4,Half Brothers,Focus Features,"Luke Greenfield (director); Eduardo Cisneros, Jason Shuman (screenplay); Luis Gerardo Méndez, Connor Del Rio",,
D E C E M B E R,4,Wander,Saban Films,"April Mullen (director); Tim Doiron (screenplay); Aaron Eckhart, Katheryn Winnick, Heather Graham, Roger Dorman, Tommy Lee Jones",,
D E C E M B E R,4,Black Bear,Momentum Pictures,"Lawrence Michael Levine (director/screenplay); Aubrey Plaza, Christopher Abbott, Sarah Gadon",,
D E C E M B E R,10,Let Them All Talk,HBO Max,"Steven Soderbergh (director); Deborah Eisenberg (screenplay); Meryl Streep, Candice Bergen, Gemma Chan, Lucas Hedges, Dianne Wiest",,[224]
D E C E M B E R,11,The Midnight Sky,Netflix / Smokehouse Pictures,"George Clooney (director); Mark L. Smith (screenplay); George Clooney, Felicity Jones, David Oyelowo, Tiffany Boone, Demián Bichir, Kyle Chandler, Caoilinn Springall",,[225]
D E C E M B E R,11,Songbird,STX Films / Platinum Dunes,"Adam Mason (director/screenplay); Simon Boyes (screenplay); KJ Apa, Sofia Carson, Craig Robinson, Bradley Whitford, Peter Stormare, Alexandra Daddario, Paul Walter Hauser, Demi Moore",,[226]
D E C E M B E R,11,Wild Mountain Thyme,Bleecker Street / Likely Story,"John Patrick Shanley (director/screenplay); Emily Blunt, Jamie Dornan, Jon Hamm, Dearbhla Molloy, Christopher Walken",,
D E C E M B E R,11,Safety,Disney+ / Walt Disney Pictures,"Reginald Hudlin (director); Nick Santora (screenplay); Jay Reeves, Thaddeus J. Mixson, Corinne Foxx, Matthew Glave, James Badge Dale",,
D E C E M B E R,11,Wander Darkly,Lionsgate,"Tara Miele (director/screenplay); Sienna Miller, Diego Luna, Beth Grant, Aimee Carrero, Tory Kittles, Vanessa Bayer",,
D E C E M B E R,11,I'm Your Woman,Amazon Studios,"Julia Hart (director/screenplay); Jordan Horowitz (screenplay); Rachel Brosnahan, Arinzé Kene, Marsha Stephanie Blake, Bill Heck, Frankie Faison",,[227]
D E C E M B E R,11,The Stand In,Saban Films,"Jamie Babbit (director); Sam Bain (screenplay); Drew Barrymore, Michael Zegen, T.J. Miller, Holland Taylor",,[228]
D E C E M B E R,11,Archenemy,Voltage Pictures / RLJE Films,"Adam Egypt Mortimer (director/screenplay); Joe Manganiello, Skylan Brooks, Zolee Griggs, Paul Scheer, Amy Seimetz, Glenn Howerton",,[229]
D E C E M B E R,11,Farewell Amor,IFC Midnight,"Ekwa Msangi (director/screenplay); Ntare Mwine, Zainab Jah, Jayme Lawson, Joie Lee",,[230]
D E C E M B E R,18,Monster Hunter,Screen Gems / Constantin Film / Tencent Pictures / Toho / AB2 Digital Pictures,"Paul W. S. Anderson (director/screenplay); Milla Jovovich, Tony Jaa, Tip ""T.I."" Harris, Meagan Good, Diego Boneta, Josh Helman, Jin Au-Yeung, Ron Perlman",,[231]
D E C E M B E R,18,Greenland,STX Films / Thunder Road Films,"Ric Roman Waugh (director); Chris Sparling (screenplay); Gerard Butler, Morena Baccarin, David Denman, Hope Davis, Roger Dale Floyd, Andrew Bachelor, Merrin Dungey, Holt McCallany, Scott Glenn",,[232]
D E C E M B E R,18,Fatale,Lionsgate,"Deon Taylor (director); David Loughery (screenplay); Hilary Swank, Michael Ealy, Mike Colter, Geoffrey Owens, Denise Dowse",,[233]
D E C E M B E R,18,Skylines,Vertical Entertainment / XYZ Films / Ingenious Media,"Liam O'Donnell (director/screenplay); Lindsey Morgan, Jonathan Howard, Daniel Bernhardt, Rhona Mitra, James Cosmo, Alexander Siddig",,[234]
D E C E M B E R,18,Hunter Hunter,IFC Midnight,"Shawn Linden (director/screenplay); Devon Sawa, Camille Sullivan, Nick Stahl, Summer H. Howell",,[235]
D E C E M B E R,18,Breach,Saban Films,"John Suits (director); Edward John Drake, Corey William Large (screenplay); Cody Kearsley, Bruce Willis, Thomas Jane",,[236]
D E C E M B E R,21,"Ariana Grande: Excuse Me, I Love You",Netflix,Paul Dugdale (director); Ariana Grande,,[237]
D E C E M B E R,23,Sylvie's Love,Amazon Studios,"Eugene Ashe (director/screenplay); Tessa Thompson, Nnamdi Asomugha, Ryan Michelle Bathe, Aja Naomi King, Eva Longoria",,[238]
D E C E M B E R,25,Wonder Woman 1984,HBO Max / Warner Bros. Pictures / DC Films / Atlas Entertainment / The Stone Quarry,"Patty Jenkins (director/screenplay); Geoff Johns, David Callaham (screenplay); Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal, Robin Wright, Connie Nielsen",,[239]
D E C E M B E R,25,Soul,Disney+ / Walt Disney Pictures / Pixar Animation Studios,"Pete Docter (director/screenplay); Mike Jones, Kemp Powers (screenplay); Jamie Foxx, Tina Fey, Graham Norton, Rachel House, Alice Braga, Richard Ayoade, Phylicia Rashad, Donnell Rawlings, Questlove, Angela Bassett, Daveed Diggs, Wes Studi, Fortune Feimster, Zenobia Shroff",,[240]
D E C E M B E R,25,We Can Be Heroes,Netflix / Troublemaker Studios / Double R Productions,"Robert Rodriguez (director/screenplay); Priyanka Chopra Jonas, Pedro Pascal, YaYa Gosselin, Boyd Holbrook, Adriana Barraza, Haley Reinhart, Sung Kang, Taylor Dooley, Christian Slater",,[241]
D E C E M B E R,25,News of the World,Universal Pictures / Perfect World Pictures,"Paul Greengrass (director/screenplay); Luke Davies (screenplay); Tom Hanks, Helena Zengel",,[242]
D E C E M B E R,25,One Night in Miami...,Amazon Studios,"Regina King (director); Kemp Powers (screenplay); Kingsley Ben-Adir, Eli Goree, Aldis Hodge, Leslie Odom Jr., Lance Reddick, Joaquina Kalukango, Nicolette Robinson, Beau Bridges, Lance Reddick",,[243]
D E C E M B E R,25,Promising Young Woman,Focus Features / FilmNation Entertainment,"Emerald Fennell (director/screenplay); Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown, Jennifer Coolidge, Laverne Cox, Connie Britton",,[244]
D E C E M B E R,30,Pieces of a Woman,Netflix / Bron Studios,"Kornél Mundruczó (director); Kata Wéber (screenplay); Vanessa Kirby, Shia LaBeouf, Molly Parker, Sarah Snook, Iliza Shlesinger, Benny Safdie, Jimmie Fails, Ellen Burstyn",,[245]
